"File","Language","Participant","Item_type","Item_num","Focus","TP","Word","Syll","Syll_num","Prosodic_Prom","min_time","max_time","F0_mean","F0_min","F0_max","F0_range","env_mean","env_min","env_max","env_range","duration","Gender","Age"
"C15_T_21_C","Catalan",15,"target",21,"contrastive","L'escombra de color lila","N","post",3,NA,2218.00000000002,2317.00000000001,207.523124694824,200.175506591797,217.400604248047,17.22509765625,0.238292818406562,0.218260392142922,0.263377980674105,0.045117588531183,98.99999999999,"female",19
"C15_T_21_C","Catalan",15,"target",21,"contrastive","L'escombra de color lila","NC","lo_pre",5,"2",2541.99999999997,2685,173.975108220027,168.443542480469,180.451782226562,12.008239746093,0.216592739141231,0.123922448271811,0.261248235802208,0.137325787530397,143.00000000003,"female",19
"C15_T_21_C","Catalan",15,"target",21,"contrastive","L'escombra de color lila","A","li",6,"2",2685,2810,166.491280188927,154.255065917969,173.535583496094,19.280517578125,0.202320008108905,0.163802851324536,0.253713357109711,0.089910505785175,125,"female",19
"C15_T_21_C","Catalan",15,"target",21,"contrastive","L'escombra de color lila","A","post",7,NA,2810,2993.99999999997,147.900811331613,141.580459594727,156.689926147461,15.109466552734,0.101592680072528,0.0503811189345888,0.159967329528936,0.109586210594347,183.99999999997,"female",19
"C15_T_22_R","Catalan",15,"target",22,"corrective","La de color lila","NC","lo_pre",1,"1",1565,1711.99999999999,164.629176548549,158.40495300293,171.508972167969,13.104019165039,0.213231225394321,0.105797349374245,0.277503624587988,0.171706275213743,146.99999999999,"female",19
"C15_T_22_R","Catalan",15,"target",22,"corrective","La de color lila","A","li",2,"2",1711.99999999999,1827,163.681898752848,151.700714111328,171.791580200195,20.090866088867,0.180091660688947,0.129924800005991,0.256887389225163,0.126962589219172,115.00000000001,"female",19
"C15_T_22_R","Catalan",15,"target",22,"corrective","La de color lila","A","post",3,NA,1827,1980.00000000002,151.311124165853,146.416168212891,154.717575073242,8.30140686035099,0.0792603106510356,0.0388395520856995,0.125224067360403,0.0863845152747035,153.00000000002,"female",19
"C15_T_23_I","Catalan",15,"target",23,"information","El micròfon lila","N","pre",1,NA,1904.99999999997,2032.99999999996,199.832761324369,183.578338623047,212.298553466797,28.72021484375,0.243964862289277,0.172696536620245,0.274007237030756,0.101310700410511,127.99999999999,"female",19
"C15_T_23_I","Catalan",15,"target",23,"information","El micròfon lila","N","crò",2,"2",2032.99999999996,2176.99999999996,184.761245727539,165.55876159668,194.433441162109,28.874679565429,0.191185554504714,0.130037895948089,0.294404832917352,0.164366936969263,144,"female",19
"C15_T_23_I","Catalan",15,"target",23,"information","El micròfon lila","N","post_pre",3,NA,2176.99999999996,2503.99999999996,227.310022527521,192.372894287109,252.558578491211,60.185684204102,0.189240448992342,0.0957705971986494,0.293926305222847,0.198155708024198,327,"female",19
"C15_T_23_I","Catalan",15,"target",23,"information","El micròfon lila","","<p>",4,NA,2503.99999999996,2596.99999999998,255.785983276367,248.520904541016,269.253234863281,20.732330322265,0.071141098960119,0.0380360004797023,0.119863513777426,0.0818275132977237,93.00000000002,"female",19
"C15_T_23_I","Catalan",15,"target",23,"information","El micròfon lila","A","li",5,"3",2596.99999999998,2770.99999999996,163.680903843471,157.327072143555,170.858520507812,13.531448364257,0.114654017709802,0.0370710750313332,0.216508280063755,0.179437205032422,173.99999999998,"female",19
"C15_T_23_I","Catalan",15,"target",23,"information","El micròfon lila","A","post",6,NA,2770.99999999996,2959,152.498441060384,138.590698242188,164.564376831055,25.973678588867,0.177395499678492,0.0858921215469649,0.233041017746944,0.147148896199979,188.00000000004,"female",19
"C15_T_24_F","Catalan",15,"target",24,"filler","L'ampolla de color groc","N","pre",1,NA,1828.00000000003,2006.00000000003,200.038453843858,183.805618286133,220.168762207031,36.363143920898,0.29327354623318,0.225738452237953,0.340594758634344,0.114856306396391,178,"female",19
"C15_T_24_F","Catalan",15,"target",24,"filler","L'ampolla de color groc","N","po",2,"2",2006.00000000003,2114.00000000003,182.25737508138,174.770782470703,189.749008178711,14.978225708008,0.177645031238545,0.157466835959032,0.213301757891141,0.055834921932109,108,"female",19
"C15_T_24_F","Catalan",15,"target",24,"filler","L'ampolla de color groc","N","post",3,NA,2114.00000000003,2283.99999999999,199.247709386489,187.096343994141,216.847061157227,29.750717163086,0.26075981523809,0.206220604196471,0.273881879508552,0.067661275312081,169.99999999996,"female",19
"C15_T_24_F","Catalan",15,"target",24,"filler","L'ampolla de color groc","NC","lo_pre",5,"2",2519.00000000001,2766.00000000002,170.811352273692,164.466293334961,176.242156982422,11.775863647461,0.213790890874608,0.117736556718764,0.256581551183861,0.138844994465097,247.00000000001,"female",19
"C15_T_24_F","Catalan",15,"target",24,"filler","L'ampolla de color groc","A","groc",6,"2",2766.00000000002,3076.00000000002,158.116422151264,141.99674987793,173.568817138672,31.572067260742,0.107301094924658,0.0293950470253862,0.164744864075079,0.135349817049693,310,"female",19
"C15_T_25_C","Catalan",15,"target",25,"contrastive","La motxilla lila","N","pre",1,NA,1866.99999999996,2009.99999999999,186.006547110421,175.395858764648,196.989639282227,21.593780517579,0.286492133932571,0.228444650732061,0.305749217916458,0.077304567184397,143.00000000003,"female",19
"C15_T_25_C","Catalan",15,"target",25,"contrastive","La motxilla lila","N","txi",2,"2",2009.99999999999,2206.99999999999,184.189283582899,163.980087280273,201.763687133789,37.783599853516,0.157248054245585,0.109011199939403,0.23148926971025,0.122478069770847,197,"female",19
"C15_T_25_C","Catalan",15,"target",25,"contrastive","La motxilla lila","N","post_pre",3,NA,2206.99999999999,2448.99999999996,210.666356136924,194.664474487305,224.953720092773,30.289245605468,0.208921009392898,0.0811813698394261,0.264716109170775,0.183534739331349,241.99999999997,"female",19
"C15_T_25_C","Catalan",15,"target",25,"contrastive","La motxilla lila","","<p>",4,NA,2448.99999999996,2548,NA,Inf,-Inf,-Inf,0.0427644778489577,0.0265006251641288,0.0717414361841371,0.0452408110200083,99.00000000004,"female",19
"C15_T_25_C","Catalan",15,"target",25,"contrastive","La motxilla lila","A","li",5,"2",2548,2721.99999999998,167.196896362305,158.289596557617,175.536575317383,17.246978759766,0.109494865099498,0.0287327341914482,0.191421353063708,0.16268861887226,173.99999999998,"female",19
